GameID,AwayHome,LastName,FirstName,Pos1,Pos2,StarterSub
2019022301,away,Oxyer,Dillon Ss,ss,NA,starter
2019022301,away,Tunnell,Avery Lf,lf,NA,starter
2019022301,away,Marshall,Dwayne Dh,dh,NA,starter
2019022301,away,Hancock,Devynn Rf,rf,NA,starter
2019022301,away,Brown,Marcus 1B,1b,NA,starter
2019022301,away,Doherty,Dj C,c,NA,starter
2019022301,away,Hoskins,Payton 3B/2B,3b,2b,starter
2019022301,away,Roets,Nick 2B,2b,NA,starter
2019022301,away,Cutler,Brantley Cf,cf,NA,starter
2019022301,away,Walston,Caleb P,p,NA,starter
2019022301,away,Schreur,Aaron Ph/Lf,ph,lf,sub
2019022301,away,Nicastro,Joey Ph,ph,NA,sub
2019022301,away,Davis,Carson C,c,NA,sub
2019022301,away,Jamieson,Peter 3B,3b,NA,sub
2019022301,away,Carpenter,Keith P,p,NA,sub
2019022301,away,Cordell,Brian P,p,NA,sub
2019022301,away,Rabb,Derrick P,p,NA,sub
2019022301,away,Hoskins,Payton 3B/2B,3b,2b,sub
2019022301,home,Johnson,Will,1b,lf,starter
2019022301,home,Kerr,Ryland,ss,NA,starter
2019022301,home,Howie,Nick,dh,NA,starter
2019022301,home,Botsoe,Chris,cf,NA,starter
2019022301,home,Lucio,Christian,2b,3b,starter
2019022301,home,Lewis,Aj,c,NA,starter
2019022301,home,Conklin,Corey,3b,NA,starter
2019022301,home,Hill,Marcus,rf,NA,starter
2019022301,home,Weaver,Lyndon,lf,NA,starter
2019022301,home,Ferris,Jacob,p,NA,starter
2019022301,home,Blair,Jaxson,pr,NA,sub
2019022301,home,Lovell,Brent,ph,NA,sub
2019022301,home,Thomason,Logan,2b,NA,sub
2019022301,home,Abbott,Jacob,1b,NA,sub
2019022301,home,Labarbera,Brennan,p,NA,sub
2019022301,home,Morris,Mitchell,p,NA,sub
2019022301,home,Farley,John,p,NA,sub
2019022301,home,Beavers,Nate,p,NA,sub
2019022301,home,Laster,Nick,p,NA,sub
2019022301,home,Ochsenbein,Aaron,p,NA,sub
2019022301,home,Johnson,Will,1b,lf,sub
2019022301,home,Lucio,Christian,2b,3b,sub
